Sexo,Edad,Provincias,Periodo,Total
Ambos sexos,16 años,Total Nacional,1 de julio de 2022,510020
Ambos sexos,16 años,Total Nacional,1 de enero de 2022,501375
Ambos sexos,16 años,Total Nacional,1 de julio de 2021,497543
Ambos sexos,16 años,Total Nacional,1 de enero de 2021,495257
Ambos sexos,16 años,Total Nacional,1 de julio de 2020,490677
Ambos sexos,16 años,Total Nacional,1 de enero de 2020,485681
Ambos sexos,16 años,Total Nacional,1 de julio de 2019,474607
Ambos sexos,16 años,Total Nacional,1 de enero de 2019,463711
Ambos sexos,16 años,Total Nacional,1 de julio de 2018,459872
Ambos sexos,16 años,Total Nacional,1 de enero de 2018,457057
Ambos sexos,16 años,Total Nacional,1 de julio de 2017,454935
Ambos sexos,16 años,Total Nacional,1 de enero de 2017,453735
Ambos sexos,16 años,Total Nacional,1 de julio de 2016,447241
Ambos sexos,16 años,Total Nacional,1 de enero de 2016,441430
Ambos sexos,16 años,Total Nacional,1 de julio de 2015,434061
Ambos sexos,16 años,Total Nacional,1 de enero de 2015,427394
Ambos sexos,16 años,Total Nacional,1 de julio de 2014,428376
Ambos sexos,16 años,Total Nacional,1 de enero de 2014,429584
Ambos sexos,16 años,Total Nacional,1 de julio de 2013,427689
Ambos sexos,16 años,Total Nacional,1 de enero de 2013,426017
Ambos sexos,16 años,Total Nacional,1 de julio de 2012,425285
Ambos sexos,16 años,Total Nacional,1 de enero de 2012,424447
Ambos sexos,16 años,Total Nacional,1 de julio de 2011,426238
Ambos sexos,16 años,Total Nacional,1 de enero de 2011,428009
Ambos sexos,16 años,Total Nacional,1 de julio de 2010,435665
Ambos sexos,16 años,Total Nacional,1 de enero de 2010,443250
Ambos sexos,16 años,Total Nacional,1 de julio de 2009,449941
Ambos sexos,16 años,Total Nacional,1 de enero de 2009,456014
Ambos sexos,16 años,Total Nacional,1 de julio de 2008,452621
Ambos sexos,16 años,Total Nacional,1 de enero de 2008,448684
Ambos sexos,16 años,Total Nacional,1 de julio de 2007,447560
Ambos sexos,16 años,Total Nacional,1 de enero de 2007,446660
Ambos sexos,16 años,Total Nacional,1 de julio de 2006,448115
Ambos sexos,16 años,Total Nacional,1 de enero de 2006,450136
Ambos sexos,16 años,Total Nacional,1 de julio de 2005,450525
Ambos sexos,16 años,Total Nacional,1 de enero de 2005,451088
Ambos sexos,16 años,Total Nacional,1 de julio de 2004,451388
Ambos sexos,16 años,Total Nacional,1 de enero de 2004,452096
Ambos sexos,16 años,Total Nacional,1 de julio de 2003,454904
Ambos sexos,16 años,Total Nacional,1 de enero de 2003,457475
Ambos sexos,16 años,Total Nacional,1 de julio de 2002,463391
Ambos sexos,16 años,Total Nacional,1 de enero de 2002,469883
Ambos sexos,16 años,Total Nacional,1 de julio de 2001,477290
Ambos sexos,16 años,Total Nacional,1 de enero de 2001,486409
Ambos sexos,16 años,Total Nacional,1 de julio de 2000,494764
Ambos sexos,16 años,Total Nacional,1 de enero de 2000,502716
Ambos sexos,16 años,Total Nacional,1 de julio de 1999,518485
Ambos sexos,16 años,Total Nacional,1 de enero de 1999,534208
Ambos sexos,16 años,Total Nacional,1 de julio de 1998,547194
Ambos sexos,16 años,Total Nacional,1 de enero de 1998,559671
Ambos sexos,16 años,Total Nacional,1 de julio de 1997,574578
Ambos sexos,16 años,Total Nacional,1 de enero de 1997,589224
Ambos sexos,16 años,Total Nacional,1 de julio de 1996,600743
Ambos sexos,16 años,Total Nacional,1 de enero de 1996,612447
Ambos sexos,16 años,Total Nacional,1 de julio de 1995,628748
Ambos sexos,16 años,Total Nacional,1 de enero de 1995,644879
Ambos sexos,16 años,Total Nacional,1 de julio de 1994,649540
Ambos sexos,16 años,Total Nacional,1 de enero de 1994,654071
Ambos sexos,16 años,Total Nacional,1 de julio de 1993,664878
Ambos sexos,16 años,Total Nacional,1 de enero de 1993,675915
Ambos sexos,16 años,Total Nacional,1 de julio de 1992,676451
Ambos sexos,16 años,Total Nacional,1 de enero de 1992,677201
Ambos sexos,16 años,Total Nacional,1 de julio de 1991,673730
Ambos sexos,16 años,Total Nacional,1 de enero de 1991,670682
Ambos sexos,16 años,Total Nacional,1 de julio de 1990,666714
Ambos sexos,16 años,Total Nacional,1 de enero de 1990,662786
Ambos sexos,16 años,Total Nacional,1 de julio de 1989,665508
Ambos sexos,16 años,Total Nacional,1 de enero de 1989,668260
Ambos sexos,16 años,Total Nacional,1 de julio de 1988,663564
Ambos sexos,16 años,Total Nacional,1 de enero de 1988,658937
Ambos sexos,16 años,Total Nacional,1 de julio de 1987,657523
Ambos sexos,16 años,Total Nacional,1 de enero de 1987,656466
Ambos sexos,16 años,Total Nacional,1 de julio de 1986,653094
Ambos sexos,16 años,Total Nacional,1 de enero de 1986,649802
Ambos sexos,16 años,Total Nacional,1 de julio de 1985,649239
Ambos sexos,16 años,Total Nacional,1 de enero de 1985,648794
Ambos sexos,16 años,Total Nacional,1 de julio de 1984,656350
Ambos sexos,16 años,Total Nacional,1 de enero de 1984,664332
Ambos sexos,16 años,Total Nacional,1 de julio de 1983,666807
Ambos sexos,16 años,Total Nacional,1 de enero de 1983,670177
Ambos sexos,16 años,Total Nacional,1 de julio de 1982,668348
Ambos sexos,16 años,Total Nacional,1 de enero de 1982,666119
Ambos sexos,16 años,Total Nacional,1 de julio de 1981,674628
Ambos sexos,16 años,Total Nacional,1 de enero de 1981,682701
Ambos sexos,17 años,Total Nacional,1 de julio de 2022,504927
Ambos sexos,17 años,Total Nacional,1 de enero de 2022,498628
Ambos sexos,17 años,Total Nacional,1 de julio de 2021,493042
Ambos sexos,17 años,Total Nacional,1 de enero de 2021,488788
Ambos sexos,17 años,Total Nacional,1 de julio de 2020,480011
