Age,Sex,A2022,A2006
16 - 19,    Hombres,"15,75","33,58"
17 - 19,    Mujeres,"13,3","24,78"
20 - 24,    Hombres,"57,39","72,51"
21 - 24,    Mujeres,"51,68","63,2"
25 - 29,    Hombres,"86,8","90,52"
26 - 29,    Mujeres,"81,4","81,57"
30 - 34,    Hombres,"91,22","94,2"
31 - 34,    Mujeres,"85,25","78,55"
35 - 39,    Hombres,"93,12","95,03"
36 - 39,    Mujeres,"85,18","73,92"
40 - 44,    Hombres,"94,11","93,21"
41 - 44,    Mujeres,"85,47","70,68"
45 - 49,    Hombres,"92,99","92,61"
46 - 49,    Mujeres,"83,73","65,62"
50 – 54,    Hombres,"90,04","87,69"
51 – 54,    Mujeres,"78,73","54,88"
55 - 59,    Hombres,"82,85","76,05"
56 - 59,    Mujeres,"68,55","39,8"
60 - 64 ,    Hombres,"59,46","48,71"
61 - 64 ,    Mujeres,"48,53","21,57"
