año	female	male	total
1995	61.3 	79.6 	70.5 
1996	61.3 	79.3 	70.4 
1997	61.8 	79.3 	70.6 
1998	62.1 	79.2 	70.7 
1999	62.9 	79.3 	71.2 
2000	63.0 	78.8 	71.0 
2001	63.7 	78.8 	71.3 
2002	64.2 	78.7 	71.5 
2003	65.0 	79.0 	72.1 
2004	65.1 	79.0 	72.1 
2005	66.9	80.6	73.8
2006	68.5	81.3	74.9
2007	69.4 	81.7 	75.6 
2008	69.7 	82.0 	75.9 
2009	70.4 	82.2 	76.3 
2010	70.9	82.4	76.7
2011	71.9	82.7	77.3
2012	71.9	82.6	77.2
2013	72.6 	82.6 	77.6 
2014	72.9 	82.5 	77.7 
2015	73.1 	82.1 	77.6 
2016	73.6 	82.2 	77.9 
2017	74.0 	82.4 	78.2 
2018	74.3 	82.9 	78.6 
2019	74.9 	83.5 	79.2 
2020	74.5	82.5	78.5
2021	74.4	82.5	78.5
2022	75.4 	83.4 	79.4 
