año,total,male,female
1990,4.8 ,4.1 ,5.9 
1991,5.6 ,4.5 ,7.0 
1992,6.6 ,5.3 ,8.4 
1993,7.9 ,6.6 ,9.6 
1994,8.4 ,7.2 ,10.1 
1995,8.1 ,7.2 ,9.4 
1996,8.9 ,8.3 ,9.6 
1997,9.8 ,9.2 ,10.6 
1998,9.2 ,8.7 ,9.9 
1999,8.4 ,8.1 ,8.9 
2000,7.7 ,7.5 ,8.1 
2001,7.8 ,7.8 ,7.9 
2002,8.6 ,8.7 ,8.3 
2003,9.3 ,9.6 ,8.8 
2004,10.3 ,10.5 ,10.0 
2005,11.1 ,11.3 ,10.9 
2006,10.3 ,10.3 ,10.2 
2007,8.6 ,8.5 ,8.8 
2008,7.5 ,7.4 ,7.7 
2009,7.7 ,8.1 ,7.3 
2010,7.1 ,7.5 ,6.6 
2011,5.8 ,6.0 ,5.6 
2012,5.4 ,5.5 ,5.2 
2013,5.2 ,5.5 ,4.9 
2014,5.0 ,5.3 ,4.6 
2015,4.6 ,5.0 ,4.2 
2016,4.1 ,4.5 ,3.7 
2017,3.7 ,4.1 ,3.3 
2018,3.4 ,3.8 ,2.9 
2019,3.1 ,3.5 ,2.7 
2020,3.9 ,4.3 ,3.5 
2021,3.6 ,3.9 ,3.2 
