año,pib,Gprivado,Gpublico,inversion,export,import
2024,"4268,10","2181,00","909,70","1013,10","2106,50","1942,20"
2023,"4111,60","2096,00","871,30","981,10","2018,20","1854,90"
2022,"3867,10","1978,90","848,40","960,20","1946,60","1867,10"
2021,"3601,80","1773,80","797,50","838,90","1693,90","1502,40"
2020,"3405,40","1713,50","748,00","752,30","1464,80","1273,10"
2019,"3473,30","1805,50","703,20","768,30","1621,00","1424,60"
2018,"3365,40","1753,40","669,10","737,70","1592,20","1386,90"
2017,"3267,20","1702,50","648,20","684,90","1540,90","1309,30"
2016,"3134,70","1653,70","623,90","625,90","1444,30","1213,00"
2015,"3026,20","1603,00","595,90","597,50","1419,90","1190,10"
2014,"2927,40","1563,90","573,50","596,30","1335,50","1141,70"
2013,"2811,30","1533,80","551,90","563,80","1276,90","1115,00"
2012,"2745,30","1507,40","529,20","541,30","1271,30","1103,80"
2011,"2693,60","1464,90","513,70","582,80","1213,60","1081,40"
2010,"2564,40","1413,20","501,70","514,60","1091,50","956,60"
2009,"2445,70","1380,40","488,90","453,80","932,30","809,80"
2008,"2546,50","1380,80","464,90","546,10","1115,30","960,70"
2007,"2499,60","1349,60","446,30","534,40","1082,90","913,60"
2006,"2385,10","1328,10","437,10","490,60","988,20","859,00"
2005,"2288,30","1293,80","429,70","445,90","870,90","751,90"
2004,"2262,50","1270,20","425,70","448,90","808,00","690,40"
2003,"2211,60","1248,70","427,40","452,00","725,70","642,20"
2002,"2198,10","1225,30","422,70","456,70","716,40","623,00"
2001,"2172,50","1226,70","411,70","498,80","691,80","656,50"
2000,"2109,10","1187,40","401,70","516,50","650,60","647,00"
1999,"2059,50","1157,40","396,40","494,30","555,20","543,80"
1998,"2000,80","1113,50","382,10","480,60","528,40","503,80"
1997,"1952,60","1097,20","377,90","456,40","495,20","474,10"
1996,"1968,00","1108,20","387,90","457,80","449,90","435,80"
1995,"1977,60","1104,30","384,10","481,10","435,00","426,90"
1994,"1859,30","1044,80","359,10","452,40","392,50","389,50"
1993,"1768,50","1002,00","342,20","423,30","359,20","358,40"
1992,"1647,70","923,10","316,70","416,20","365,70","374,00"
1991,"1512,40","847,50","282,50","389,80","357,90","365,30"
