total	food	members
45768.95	4322.272	2
31959.59	6218.962	2
35512.78	6465.125	2
73175.79	8535.726	2
19065.1	4238.311	2
26948.82	6382.686	2
80418.45	7186.823	2
55120.13	8092.955	2
17439.74	1962.932	2
17926.56	5002.85	2
57986.23	11896.33	2
31148.62	4993.437	2
30557.06	5438.124	2
24065.67	5544.05	2
25640.62	8344.06	2
24706.76	5355.95	2
15429.36	4090.51	2
32960.63	6099.68	2
37018.33	9796.51	2
34677.81	8234.73	2
61212.56	8021.27	2
17126.32	4460.62	2
27356.02	9813.28	2
26323.3	9591.38	2
42504.33	11078.34	2
50183.72	8312.42	2
40124.71	10975.9	2
16477.28	3882.688	2
19598.47	5149.52	2
21580.69	3992.41	2
11834.56	4686.963	2
31847.12	6135.535	2
45212.13	7075.537	2
26586.4	6703.96	2
21994.94	3735.157	2
36752.11	5067.871	2
21709.63	6077.456	2
44065.77	6155.524	2
40448.08	6316.619	2
22593.38	8519.859	2
31515.34	4905.854	2
25257.17	5194.238	2
20607.09	9435.316	2
78875.8	4210.341	2
33466.28	7328.212	2
19024.5	7124.232	2
29009.57	8337.613	2
15028.31	5625.427	2
26440.73	3838.15	2
22469.82	9499.433	2
121617	9337.065	2
33530.24	7242.358	2
51625.33	6806.383	2
19103.33	3763.552	2
21272.76	5401.864	2
29744.24	1318.914	2
32396.08	5876.578	2
25658.74	4958.877	2
26889.59	6021.531	2
34823.36	3262.938	2
23978.82	4547.364	2
26473	5606.617	2
38452.96	8711.101	2
20441.23	4461.682	2
52951.69	7825.46	2
25281.2	6941.682	2
56041.49	6997.345	2
37497.77	5028.235	2
39474.16	9283.857	2
19623.44	8274.978	2
43990.57	3991.617	2
28153.01	5660.413	2
21381.83	7699.955	2
33830.45	7335.596	2
27514.02	6721.583	2
30351.31	4933.306	2
28346.49	5638.08	2
23491.28	3578.355	2
10912.59	5829.451	2
29324	7658.039	2
28453.24	4754.209	2
54785.61	6226.514	2
19024.19	3925.37	2
120293.2	6568.223	2
54067.99	9793.635	2
17771.24	5709.748	2
27468.82	8114.073	2
34136.2	7225.055	2
39659.13	5789.706	2
45199.19	5619.946	2
35817.45	5436.283	2
25898.33	7925.87	2
34054.07	6731.491	2
39263.31	10386.6	2
22503.66	4687.777	2
32339.01	4708.383	2
15995.17	7165.193	2
20579.95	9149.783	2
124564.2	11635.64	2
38911.9	9918.521	2
27301.89	7990.17	2
25813.26	6074.209	2
21057.99	5527.945	2
34677.17	8064.716	2
33539.21	3839.78	2
13149.07	3759.688	2
25937.99	4855.14	2
12602.31	8447.21	2
22552.36	6671.974	2
20363.62	5054.491	2
25496.75	6005.049	2
47580.69	10696.12	2
31149.45	7556.695	2
24679.44	5060.093	2
31764.76	7151.338	2
68096.07	7165.182	2
58614.79	6015.721	2
50411.31	9860.995	2
41888.79	7929.316	2
40064.25	4752.645	2
14904.5	4434.787	2
17267.22	5710.2	2
28449.27	6169.787	2
18817.98	7012.514	2
77709.72	9416.091	2
75718.95	4275.932	2
55557.87	10590.77	2
37834.45	8375.801	2
14999.05	4513.979	2
91136.47	12988.19	2
37397.16	4959.846	2
64966.1	7366.57	2
39044.11	5939.17	2
45901.46	6007.79	2
69971.45	5712.309	2
26151.39	7568.607	2
24425.87	8970.009	2
36235.44	6838.432	2
54673	9141.029	2
23129.78	5520.064	2
28977.01	4230.306	2
22868.91	4878.215	2
29818.6	5949.884	2
73223.14	11084.79	2
20749.68	6185.741	2
36410.9	2639.852	2
15657.22	4543.007	2
89473.42	8166.958	2
17576.8	5531.435	2
17203.17	5376.264	2
51340.73	5071.326	2
29995.66	10038.66	2
35665.99	4505.179	2
29511.26	7950.849	2
27757.95	9328.435	2
38645.2	6977.948	2
28912.88	10845.44	2
53412.86	6390.662	2
41544.33	4707.971	2
67744.67	7366.895	3
68499.13	5651.717	3
21309.4	7305.63	3
15521.05	3666.5	3
41214.68	6115.12	3
40282.98	7819.35	3
40097.69	7526.285	3
27090.39	8869.477	3
9551.657	1987.106	3
35319.01	6987.301	3
35504.07	10007.29	3
11642.47	4287.059	3
43441.16	9439.266	3
25838.08	5536.572	3
29068.94	5300.783	3
24900.02	10214.67	3
48686.3	6392.163	3
32424.68	9689.813	3
23963.13	9035.819	3
45437.49	5197.729	3
21192.86	8484.1	3
55077.52	6878.042	3
36300.87	8784.11	3
52167.64	7655.241	3
14584.64	6045.411	3
49979.36	10108.96	3
79576.68	8836.161	3
10125.17	3483.319	3
37686.63	8281.369	3
30635.36	5286.015	3
23008.79	9675.282	3
44285.78	6196.373	3
50352.08	9880.401	3
30140.34	9524.56	3
26134.56	6583.611	3
37639.11	6468.283	3
38610.13	7222.54	3
28031.46	6645.792	3
