city;city.code;temp.annual;hsun.annual;prec.annual;temp.aut;temp.sum;temp.spr;temp.win;hsun.aut;hsun.sum;hsun.spr;hsun.win;prec.aut;prec.sum;prec.spr;prec.win;latitude;longitude;altitude
ALMERIA;ALM;19.95;3159.60;254.50;17.87;26.90;21.33;13.70;666.10;964.10;884.90;644.50;67.90;19.40;36.60;130.60;36.84016;-2.467922;27.00703
CADIZ;CAD;19.08;2970.00;464.00;18.07;24.27;20.97;13.03;595.00;850.00;948.00;577.00;167.40;2.20;30.70;263.70;36.52969;-6.292657;15.42415
CORDOBA;COR;19.13;3103.50;300.40;15.83;27.53;22.47;10.70;610.60;927.40;919.00;646.50;155.20;10.30;47.60;87.30;37.88473;-4.779152;131.9102
GRANADA;GRA;16.63;3042.20;262.50;13.27;25.43;19.50;8.30;615.50;939.90;912.90;573.90;72.90;59.20;29.90;100.50;37.17649;-3.597929;697.486
JAEN;JAE;18.21;3140.40;278.20;14.77;26.63;21.50;9.93;562.10;991.20;974.70;612.40;73.20;17.40;75.00;112.60;37.76574;-3.789518;576.3939
HUELVA;HUL;19.05;3291.80;366.20;16.93;25.50;21.13;12.63;635.70;1037.50;990.00;628.60;201.00;7.80;69.00;88.40;37.2571;-6.949555;20.74414
MALAGA;MAL;19.75;2774.30;322.30;17.60;26.93;21.00;13.47;519.90;860.30;793.40;600.70;92.80;56.80;18.30;154.40;36.71965;-4.420019;20.76588
SEVILLA;SEV;20.03;3380.60;336.20;17.07;27.53;23.07;12.43;663.50;1030.80;982.40;703.90;189.30;14.00;43.50;89.40;37.38264;-5.996295;8.265573
HUESCA;HUS;15.52;2821.90;406.90;11.77;23.50;18.93;7.87;452.90;893.10;915.80;560.10;50.00;155.10;71.80;130.00;42.1401;-0.408898;467
TERUEL;TER;13.50;2793.70;397.60;10.17;22.00;16.30;5.53;545.10;864.80;865.90;517.90;67.00;85.80;143.80;101.00;40.34411;-1.10691;927.4562
ZARAGOZA;ZAR;16.58;2785.90;336.50;12.30;24.87;20.27;8.87;410.20;901.40;911.00;563.30;80.70;55.30;109.40;91.10;41.65629;-0.8765379;204.0027
OVIEDO;OVI;13.84;1780.60;1021.60;13.47;18.50;15.27;8.13;424.90;526.80;524.40;304.50;213.00;116.80;173.30;518.50;43.36026;-5.844759;238.8659
MAO;MAO;17.68;2478.10;606.00;15.83;25.03;19.07;10.77;431.50;815.80;841.20;389.60;79.50;196.30;50.20;280.00;39.88961;4.264211;39.57444
PALMA;PAL;18.98;2909.30;452.60;17.37;26.27;20.33;11.93;550.10;879.80;950.10;529.30;46.20;239.90;9.20;157.30;39.56951;2.649966;31.92724
