country,code,region,region.code,EU,OECD,income.level,income.level.code,life.expectancy,fertility.rate,mortality.rate,pop.growth,pop.rural,pop.0.14,pop.15.24,pop.25.64,pop65.older,GDP.percapita,log.GDP.percapita,GDP.growth
Afghanistan,AFG,South Asia,SAS,no,no,Low,L,63.67,4.6,53.2,2.69,72.87,0.44,0.21,0.32,0.03,561.8,6.331,2.367
Albania,ALB,Europe & Central Asia,ECA,no,no,Upper middle,UM,78.35,1.7,12,-0.16,41.62,0.18,0.16,0.53,0.13,4131.9,8.326,3.352
Algeria,DZA,Middle East & North Africa,ENA,no,no,Upper middle,UM,76.08,2.8,21.6,1.83,28.7,0.29,0.16,0.49,0.06,3916.9,8.273,3.3
Angola,AGO,Sub-Saharan Africa,SSA,no,no,Lower middle,LM,61.55,5.7,54.6,3.37,55.18,0.47,0.19,0.32,0.02,3308.8,8.104,-0.813
Antigua and Barbuda,ATG,Latin America & Caribbean,LAC,no,no,High,H,76.36,2.1,5.1,1.04,76.61,0.24,0.17,0.52,0.07,14462.2,9.579,5.342
Argentina,ARG,Latin America & Caribbean,LAC,no,no,Upper middle,UM,76.58,2.3,9.9,0.98,8.11,0.25,0.16,0.48,0.11,12654.4,9.446,-1.823
Armenia,ARM,Europe & Central Asia,ECA,no,no,Lower middle,LM,74.62,1.6,11.9,0.27,37.44,0.2,0.14,0.55,0.11,3605.7,8.19,0.2
Australia,AUS,East Asia & Pacific,EAP,no,yes,High,H,82.5,1.8,3.1,1.5,10.45,0.19,0.13,0.53,0.15,49896.7,10.818,2.827
Austria,AUT,Europe & Central Asia,ECA,yes,yes,High,H,80.89,1.5,2.9,1.08,33.97,0.14,0.11,0.56,0.19,44731,10.708,1.451
Azerbaijan,AZE,Europe & Central Asia,ECA,no,no,Upper middle,UM,72.03,1.9,27.2,1.12,45.11,0.23,0.16,0.55,0.06,3880.7,8.264,-3.1
Bahamas,BHS,Latin America & Caribbean,LAC,no,no,High,H,75.68,1.8,8.6,1.13,17.05,0.2,0.16,0.55,0.09,30260.3,10.318,-1.69
Bahrain,BHR,Middle East & North Africa,ENA,no,no,High,H,76.9,2,6.5,3.81,11.17,0.2,0.14,0.64,0.02,22560.6,10.024,3.216
Bangladesh,BGD,South Asia,SAS,no,no,Lower middle,LM,72.49,2.1,28.2,1.08,64.97,0.29,0.19,0.47,0.05,1358.8,7.214,7.113
Barbados,BRB,Latin America & Caribbean,LAC,no,no,High,H,75.91,1.8,11.4,0.27,68.59,0.19,0.13,0.53,0.15,15891.6,9.674,2
Belarus,BLR,Europe & Central Asia,ECA,no,no,Upper middle,UM,73.83,1.7,2.9,0.13,22.95,0.16,0.11,0.58,0.15,5022.6,8.522,-2.526
Belgium,BEL,Europe & Central Asia,ECA,yes,yes,High,H,80.99,1.7,3.1,0.51,2.1,0.17,0.12,0.53,0.18,41261,10.628,1.412
Belize,BLZ,Latin America & Caribbean,LAC,no,no,Upper middle,UM,70.38,2.5,12.8,2.11,56.16,0.32,0.21,0.44,0.04,4960.2,8.509,-0.487
Benin,BEN,Sub-Saharan Africa,SSA,no,no,Low,L,60.91,5,63.1,2.76,55.61,0.43,0.2,0.34,0.03,788.5,6.67,3.965
Bhutan,BTN,South Asia,SAS,no,no,Lower middle,LM,70.2,2.1,26.8,1.31,60.62,0.27,0.19,0.49,0.05,2773.5,7.928,7.991
Bolivia,BOL,Latin America & Caribbean,LAC,no,no,Lower middle,LM,69.13,2.9,29.5,1.51,31.09,0.32,0.19,0.42,0.07,3117.3,8.045,4.264
Botswana,BWA,Sub-Saharan Africa,SSA,no,no,Upper middle,UM,66.8,2.7,32.6,1.84,42.29,0.32,0.19,0.45,0.04,6954.2,8.847,4.316
Brazil,BRA,Latin America & Caribbean,LAC,no,no,Upper middle,UM,75.51,1.7,13.5,0.82,14.07,0.22,0.17,0.53,0.08,8639.4,9.064,-3.468
Brunei Darussalam,BRN,East Asia & Pacific,EAP,no,no,High,H,77.2,1.9,8.5,1.35,22.5,0.23,0.17,0.56,0.04,26939.4,10.201,-2.466
Bulgaria,BGR,Europe & Central Asia,ECA,yes,no,Upper middle,UM,74.61,1.5,6.5,-0.7,25.73,0.14,0.09,0.56,0.2,7469.4,8.919,3.941
Burkina Faso,BFA,Sub-Saharan Africa,SSA,no,no,Low,L,60.36,5.4,52.7,2.92,69.31,0.45,0.2,0.32,0.02,614,6.42,5.925
Burundi,BDI,Sub-Saharan Africa,SSA,no,no,Low,L,57.48,5.7,48.4,3.14,87.64,0.45,0.19,0.33,0.03,285.7,5.655,-0.57
Cambodia,KHM,East Asia & Pacific,EAP,no,no,Lower middle,LM,68.98,2.6,26.3,1.56,79.06,0.31,0.2,0.44,0.04,1269.9,7.147,6.953
Cameroon,CMR,Sub-Saharan Africa,SSA,no,no,Lower middle,LM,58.07,4.7,52.8,2.61,45.06,0.43,0.2,0.34,0.03,1374.5,7.226,4.45
Canada,CAN,North America,NAM,no,yes,High,H,82.3,1.6,4.3,1.2,17.99,0.16,0.13,0.55,0.17,42348.9,10.654,1.414
Cabo Verde,CPV,Sub-Saharan Africa,SSA,no,no,Lower middle,LM,72.8,2.3,18.2,1.24,33.81,0.31,0.21,0.44,0.04,3037.5,8.019,3.817
Central African Republic,CAF,Sub-Saharan Africa,SSA,no,no,Low,L,52.17,4.9,88.5,1.06,59.67,0.44,0.21,0.32,0.04,382.1,5.946,4.531
Chad,TCD,Sub-Saharan Africa,SSA,no,no,Low,L,52.9,5.9,75.2,3.11,77.38,0.47,0.2,0.3,0.02,651.2,6.479,-6.256
Chile,CHL,Latin America & Caribbean,LAC,no,yes,High,H,79.52,1.8,7.2,0.82,10.3,0.21,0.15,0.54,0.11,13960.9,9.544,1.266
China,CHN,East Asia & Pacific,EAP,no,no,Upper middle,UM,76.25,1.6,8.5,0.54,43.22,0.18,0.12,0.6,0.1,8117.3,9.002,6.7
Colombia,COL,Latin America & Caribbean,LAC,no,no,Upper middle,UM,74.38,1.9,13.1,0.88,23.29,0.24,0.17,0.52,0.07,5756.9,8.658,2.043
Comoros,COM,Sub-Saharan Africa,SSA,no,no,Low,L,63.7,4.3,55,2.31,71.59,0.4,0.2,0.37,0.03,775.1,6.653,2.2
Congo,COG,Sub-Saharan Africa,SSA,no,no,Lower middle,LM,64.63,4.7,38.5,2.57,34.2,0.42,0.18,0.36,0.03,1528.2,7.332,-2.8
Costa Rica,CRI,Latin America & Caribbean,LAC,no,no,Upper middle,UM,79.83,1.8,7.7,1.02,22.33,0.22,0.17,0.52,0.09,11732.7,9.37,4.156
Cote d'Ivoire,CIV,Sub-Saharan Africa,SSA,no,no,Lower middle,LM,53.58,4.9,66,2.51,45.13,0.43,0.2,0.34,0.03,1535.1,7.336,8.342
Croatia,HRV,Europe & Central Asia,ECA,yes,no,Upper middle,UM,78.02,1.4,4,-0.7,40.72,0.15,0.11,0.55,0.19,12298.6,9.417,3.165
Cyprus,CYP,Europe & Central Asia,ECA,yes,no,High,H,80.51,1.3,2.1,0.78,33.16,0.17,0.15,0.55,0.13,23667,10.072,3.397
Czechia,CZE,Europe & Central Asia,ECA,yes,yes,High,H,78.33,1.6,2.5,0.19,27.02,0.15,0.1,0.57,0.19,18483.7,9.825,2.593
Democratic Republic of the Congo,COD,Sub-Saharan Africa,SSA,no,no,Low,L,59.62,6.1,72,3.28,56.99,0.46,0.19,0.32,0.03,444.4,6.097,2.399
Denmark,DNK,Europe & Central Asia,ECA,yes,yes,High,H,80.7,1.7,3.7,0.78,12.15,0.17,0.13,0.51,0.19,53578.8,10.889,1.964
Djibouti,DJI,Middle East & North Africa,ENA,no,no,Lower middle,LM,62.47,2.8,53.5,1.6,22.57,0.32,0.2,0.44,0.04,1872.2,7.535,8.722
Dominican Republic,DOM,Latin America & Caribbean,LAC,no,no,Upper middle,UM,73.86,2.4,25.5,1.14,20.16,0.3,0.18,0.45,0.07,6793.5,8.824,6.612
Ecuador,ECU,Latin America & Caribbean,LAC,no,no,Upper middle,UM,76.33,2.5,17.8,1.48,36.02,0.29,0.18,0.46,0.07,6018.5,8.703,-1.576
Egypt,EGY,Middle East & North Africa,ENA,no,no,Lower middle,LM,71.48,3.3,19.4,2.02,56.78,0.33,0.17,0.44,0.05,3479.3,8.155,4.347
El Salvador,SLV,Latin America & Caribbean,LAC,no,no,Lower middle,LM,73.51,2.1,12.9,0.51,32.81,0.28,0.2,0.44,0.08,3768.8,8.235,2.581
Equatorial Guinea,GNQ,Sub-Saharan Africa,SSA,no,no,Upper middle,UM,57.68,4.7,66.2,3.85,59.9,0.37,0.18,0.41,0.03,9217.9,9.129,-8.576
Estonia,EST,Europe & Central Asia,ECA,yes,yes,High,H,77.74,1.6,2.3,0.03,32.53,0.16,0.1,0.55,0.19,17736.8,9.783,2.063
Eswatini,SWZ,Sub-Saharan Africa,SSA,no,no,Lower middle,LM,57.75,3.1,52.4,1.81,78.69,0.37,0.22,0.37,0.03,2770.2,7.927,1.369
Ethiopia,ETH,Sub-Saharan Africa,SSA,no,no,Low,L,65.48,4.2,41,2.5,80.08,0.41,0.22,0.34,0.04,712.9,6.569,7.562
Fiji,FJI,East Asia & Pacific,EAP,no,no,Upper middle,UM,70.27,2.5,18.7,0.74,45.9,0.29,0.17,0.48,0.06,5197.5,8.556,0.38
Finland,FIN,Europe & Central Asia,ECA,yes,yes,High,H,81.78,1.7,1.9,0.29,15.64,0.16,0.12,0.51,0.21,43433,10.679,2.135
France,FRA,Europe & Central Asia,ECA,yes,yes,High,H,82.27,2,3.2,0.4,20.25,0.18,0.12,0.51,0.19,36870.2,10.515,1.188
Gabon,GAB,Sub-Saharan Africa,SSA,no,no,Upper middle,UM,66.11,3.8,34.3,2.54,12.63,0.36,0.18,0.41,0.04,7078.7,8.865,2.082
Gambia,GMB,Sub-Saharan Africa,SSA,no,no,Low,L,61.19,5.4,42.2,3.03,39.78,0.46,0.2,0.32,0.02,472.3,6.158,2.216
Georgia,GEO,Europe & Central Asia,ECA,no,no,Lower middle,LM,73.26,2,9.5,0.06,46.17,0.19,0.13,0.54,0.15,3865.8,8.26,2.849
Germany,DEU,Europe & Central Asia,ECA,yes,yes,High,H,80.64,1.5,3.2,0.81,24.49,0.13,0.1,0.55,0.21,42232.6,10.651,1.944
Ghana,GHA,Sub-Saharan Africa,SSA,no,no,Lower middle,LM,62.74,4,41.2,2.24,45.32,0.39,0.2,0.38,0.03,1517.5,7.325,3.722
Greece,GRC,Europe & Central Asia,ECA,yes,yes,High,H,81.04,1.3,3.1,-0.42,21.67,0.14,0.1,0.55,0.2,17881.5,9.792,-0.244
Grenada,GRD,Latin America & Caribbean,LAC,no,no,Upper middle,UM,73.66,2.1,14.4,0.46,64.38,0.26,0.18,0.48,0.07,9841.8,9.194,3.684
Guatemala,GTM,Latin America & Caribbean,LAC,no,no,Lower middle,LM,73.41,3,23.9,2.01,47.97,0.36,0.21,0.38,0.05,4140.7,8.329,3.092
Guinea,GIN,Sub-Saharan Africa,SSA,no,no,Low,L,60.02,4.9,58.3,2.49,62.35,0.42,0.2,0.35,0.03,748.3,6.618,10.454
Guinea-Bissau,GNB,Sub-Saharan Africa,SSA,no,no,Low,L,57.4,4.6,57.8,2.52,49.91,0.42,0.2,0.36,0.03,648.9,6.475,6.263
Guyana,GUY,Latin America & Caribbean,LAC,no,no,Upper middle,UM,66.65,2.5,26.9,0.62,71.34,0.29,0.21,0.44,0.05,4531.2,8.419,3.316
Haiti,HTI,Latin America & Caribbean,LAC,no,no,Low,L,63.33,2.9,50.9,1.26,40.21,0.33,0.2,0.42,0.05,734.8,6.6,1.453
Honduras,HND,Latin America & Caribbean,LAC,no,no,Lower middle,LM,73.58,2.5,16,1.68,44.69,0.32,0.21,0.42,0.05,2375.1,7.773,3.752
Hungary,HUN,Europe & Central Asia,ECA,yes,yes,High,H,75.57,1.5,4.4,-0.3,28.33,0.14,0.11,0.56,0.18,12820.1,9.459,2.213
Iceland,ISL,Europe & Central Asia,ECA,no,yes,High,H,82.47,1.8,1.6,1.39,5.77,0.2,0.14,0.52,0.14,60529.9,11.011,7.481
India,IND,South Asia,SAS,no,no,Lower middle,LM,68.56,2.3,34.6,1.15,66.86,0.28,0.18,0.48,0.06,1717.5,7.449,7.113
Indonesia,IDN,East Asia & Pacific,EAP,no,no,Lower middle,LM,69.19,2.4,22.2,1.14,45.53,0.28,0.17,0.5,0.05,3570.3,8.18,5.033
Iran,IRN,Middle East & North Africa,ENA,no,no,Upper middle,UM,75.95,1.7,13,1.15,26.12,0.24,0.15,0.56,0.05,5219.1,8.56,13.396
Iraq,IRQ,Middle East & North Africa,ENA,no,no,Upper middle,UM,69.86,4.4,25.9,2.97,30.41,0.41,0.2,0.37,0.03,4609.6,8.436,11
Ireland,IRL,Europe & Central Asia,ECA,yes,yes,High,H,81.61,1.9,3,1.13,36.47,0.22,0.11,0.53,0.14,64100.4,11.068,5.141
Israel,ISR,Middle East & North Africa,ENA,no,yes,High,H,82.41,3.1,2.9,1.96,7.8,0.28,0.15,0.46,0.11,37180.8,10.524,4.094
Italy,ITA,Europe & Central Asia,ECA,yes,yes,High,H,82.54,1.4,2.8,-0.17,30.88,0.14,0.1,0.54,0.23,30669,10.331,0.858
Jamaica,JAM,Latin America & Caribbean,LAC,no,no,Upper middle,UM,75.97,2,13.2,0.33,44.97,0.23,0.19,0.49,0.09,4878.6,8.493,1.374
Japan,JPN,East Asia & Pacific,EAP,no,yes,High,H,83.98,1.4,2,-0.12,6.07,0.13,0.09,0.51,0.27,38972.3,10.571,0.938
Jordan,JOR,Middle East & North Africa,ENA,no,no,Lower middle,LM,74.33,3.4,15.1,3.19,16.1,0.36,0.19,0.41,0.04,4087.9,8.316,2.004
Kazakhstan,KAZ,Europe & Central Asia,ECA,no,no,Upper middle,UM,72.3,2.7,10.1,1.42,46.77,0.27,0.14,0.52,0.07,7714.8,8.951,1.1
Kenya,KEN,Sub-Saharan Africa,SSA,no,no,Lower middle,LM,67.03,3.9,35.6,2.56,73.95,0.41,0.2,0.36,0.03,1462.5,7.288,5.869
Kiribati,KIR,East Asia & Pacific,EAP,no,no,Lower middle,LM,66.32,3.7,42.4,1.75,55.55,0.35,0.2,0.42,0.04,1587.1,7.37,1.14
Kuwait,KWT,Middle East & North Africa,ENA,no,no,High,H,74.69,2,7.2,2.92,1.64,0.21,0.12,0.65,0.02,27368.3,10.217,3.547
Kyrgyzstan,KGZ,Europe & Central Asia,ECA,no,no,Lower middle,LM,70.95,3.1,18.8,2.04,64.15,0.32,0.18,0.47,0.04,1120.7,7.022,4.336
Laos,LAO,East Asia & Pacific,EAP,no,no,Lower middle,LM,66.68,2.7,48.9,1.41,60.35,0.33,0.21,0.42,0.04,2338.7,7.757,7.023
Latvia,LVA,Europe & Central Asia,ECA,yes,yes,High,H,74.53,1.7,3.9,-0.91,32.64,0.15,0.1,0.55,0.2,14070.4,9.552,2.209
Lebanon,LBN,Middle East & North Africa,ENA,no,no,Upper middle,UM,79.58,1.7,6.9,2.62,12.09,0.24,0.19,0.49,0.08,8257.3,9.019,2
Lesotho,LSO,Sub-Saharan Africa,SSA,no,no,Lower middle,LM,54.17,3.1,72.4,1.33,72.16,0.36,0.22,0.38,0.04,1039.7,6.947,2.397
Liberia,LBR,Sub-Saharan Africa,SSA,no,no,Low,L,62.51,4.6,51.2,2.51,49.9,0.42,0.19,0.35,0.03,455.4,6.121,-1.6
Libya,LBY,Middle East & North Africa,ENA,no,no,Upper middle,UM,71.93,2.3,11,0.93,21.25,0.28,0.17,0.5,0.04,5125.7,8.542,-2.795
Lithuania,LTU,Europe & Central Asia,ECA,yes,yes,High,H,74.32,1.7,4.3,-1.27,33.49,0.15,0.12,0.54,0.19,14912.7,9.61,2.345
