"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"06.04.2023","30,450","30,750","30,880","30,400","2,36M","-1,04%"
"05.04.2023","30,770","30,610","30,970","30,600","2,49M","0,65%"
"04.04.2023","30,570","30,590","30,800","30,490","2,20M","0,59%"
"03.04.2023","30,390","30,750","31,090","30,250","3,08M","-1,65%"
"31.03.2023","30,900","30,500","30,930","30,480","3,18M","1,85%"
"30.03.2023","30,340","30,000","30,440","29,900","2,96M","1,98%"
"29.03.2023","29,750","29,550","29,750","29,080","1,97M","1,19%"
"28.03.2023","29,400","29,800","30,060","29,240","3,46M","-0,98%"
"27.03.2023","29,690","29,480","29,700","29,410","2,60M","1,82%"
"24.03.2023","29,160","29,500","29,580","28,960","3,42M","-1,69%"
"23.03.2023","29,660","29,300","29,720","29,190","1,90M","1,33%"
"22.03.2023","29,270","29,240","29,420","29,110","1,98M","0,52%"
"21.03.2023","29,120","28,700","29,380","28,570","2,64M","2,14%"
"20.03.2023","28,510","28,540","28,770","28,000","3,08M","-0,42%"
"17.03.2023","28,630","29,070","29,230","28,320","5,74M","-0,49%"
"16.03.2023","28,770","28,320","28,880","27,900","4,69M","3,94%"
"15.03.2023","27,680","28,750","28,870","27,450","5,60M","-5,11%"
"14.03.2023","29,170","28,470","29,400","28,420","3,49M","1,85%"
"13.03.2023","28,640","29,230","29,250","28,320","3,43M","-2,15%"
"10.03.2023","29,270","28,950","29,380","28,700","2,70M","-0,17%"
"09.03.2023","29,320","29,160","29,390","28,950","1,86M","0,62%"
"08.03.2023","29,140","28,980","29,160","28,920","1,98M","0,10%"
"07.03.2023","29,110","29,500","29,630","28,910","2,84M","-1,66%"
"06.03.2023","29,600","29,470","29,640","29,340","2,28M","0,82%"
"03.03.2023","29,360","28,860","29,380","28,860","1,92M","1,42%"
"02.03.2023","28,950","28,800","29,070","28,610","2,12M","-0,17%"
"01.03.2023","29,000","29,270","29,490","28,920","2,05M","-0,31%"
"28.02.2023","29,090","28,810","29,250","28,740","3,69M","0,31%"
"27.02.2023","29,000","28,720","29,100","28,550","2,67M","2,73%"
"24.02.2023","28,230","28,650","28,720","28,190","2,90M","-0,98%"
"23.02.2023","28,510","28,480","28,630","28,190","3,16M","0,07%"
"22.02.2023","28,490","28,270","28,490","28,110","2,32M","0,18%"
"21.02.2023","28,440","28,500","28,670","28,180","1,73M","-0,52%"
"20.02.2023","28,590","28,850","28,910","28,580","903,48K","-0,73%"
"17.02.2023","28,800","28,500","29,000","28,310","5,13M","1,16%"
"16.02.2023","28,470","28,600","28,700","28,360","1,77M","-0,35%"
"15.02.2023","28,570","28,340","28,740","28,310","1,76M","0,99%"
"14.02.2023","28,290","28,260","28,570","28,220","1,88M","0,57%"
"13.02.2023","28,130","27,790","28,190","27,610","1,74M","1,55%"
"10.02.2023","27,700","28,680","28,700","27,590","3,27M","-4,58%"
"09.02.2023","29,030","29,060","29,200","28,950","2,04M","0,59%"
"08.02.2023","28,860","28,860","29,130","28,770","2,14M","0,52%"
"07.02.2023","28,710","28,850","28,990","28,570","1,93M","-0,28%"
"06.02.2023","28,790","28,990","29,090","28,590","2,13M","-1,20%"
"03.02.2023","29,140","29,000","29,160","28,820","2,74M","0,48%"
"02.02.2023","29,000","29,120","29,370","28,820","3,54M","0,59%"
"01.02.2023","28,830","28,580","28,920","28,470","2,60M","0,73%"
