"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"06.03.2023","3,8580","3,8155","3,8600","3,7955","35,51M","1,61%"
"03.03.2023","3,7970","3,6950","3,8020","3,6855","42,55M","3,08%"
"02.03.2023","3,6835","3,6700","3,6930","3,6150","41,32M","-0,18%"
"01.03.2023","3,6900","3,7345","3,7625","3,6815","42,07M","-0,87%"
"28.02.2023","3,7225","3,5500","3,7485","3,5360","82,76M","4,79%"
"27.02.2023","3,5525","3,5080","3,5800","3,5015","37,75M","2,08%"
"24.02.2023","3,4800","3,5230","3,5680","3,4800","57,46M","-1,14%"
"23.02.2023","3,5200","3,4825","3,5320","3,4720","39,90M","1,53%"
"22.02.2023","3,4670","3,4900","3,5090","3,4450","29,82M","-1,59%"
"21.02.2023","3,5230","3,5050","3,5450","3,4460","38,53M","0,36%"
"20.02.2023","3,5105","3,5330","3,5480","3,5020","14,59M","-0,38%"
"17.02.2023","3,5240","3,5215","3,5620","3,5020","61,55M","-0,84%"
"16.02.2023","3,5540","3,4980","3,5555","3,4945","52,75M","2,39%"
"15.02.2023","3,4710","3,4950","3,5090","3,4545","35,42M","-0,84%"
"14.02.2023","3,5005","3,4960","3,5180","3,4660","25,65M","0,57%"
"13.02.2023","3,4805","3,4505","3,4895","3,4410","18,55M","0,93%"
"10.02.2023","3,4485","3,5000","3,5190","3,4250","41,70M","-1,53%"
"09.02.2023","3,5020","3,5415","3,5610","3,5020","42,56M","-0,75%"
"08.02.2023","3,5285","3,5400","3,5700","3,5050","38,79M","0,24%"
"07.02.2023","3,5200","3,4740","3,5350","3,4635","44,02M","2,16%"
"06.02.2023","3,4455","3,4500","3,4800","3,4295","36,83M","-1,51%"
"03.02.2023","3,4985","3,4235","3,5370","3,4020","99,06M","1,86%"
"02.02.2023","3,4345","3,3000","3,4925","3,2795","143,22M","5,73%"
"01.02.2023","3,2485","3,2200","3,2965","3,2195","62,98M","1,42%"
"31.01.2023","3,2030","3,2230","3,2490","3,1930","43,48M","0,25%"
"30.01.2023","3,1950","3,1680","3,2080","3,1555","29,84M","0,74%"
"27.01.2023","3,1715","3,1955","3,2100","3,1585","45,94M","-0,70%"
"26.01.2023","3,1940","3,1100","3,1940","3,1095","61,30M","3,25%"
"25.01.2023","3,0935","3,0840","3,0985","3,0525","88,13M","-0,34%"
"24.01.2023","3,1040","3,1000","3,1135","3,0625","30,42M","0,27%"
"23.01.2023","3,0955","3,0960","3,1345","3,0875","30,28M","-0,05%"
"20.01.2023","3,0970","3,0840","3,1020","3,0550","43,52M","1,62%"
"19.01.2023","3,0475","3,1010","3,1175","3,0030","67,41M","-2,78%"
"18.01.2023","3,1345","3,1065","3,1725","3,1050","40,91M","0,87%"
"17.01.2023","3,1075","3,1000","3,1265","3,0790","53,97M","0,27%"
"16.01.2023","3,0990","3,1420","3,1550","3,0900","25,60M","-1,20%"
"13.01.2023","3,1365","3,0950","3,1685","3,0845","55,15M","1,74%"
